TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-22,2026-09-22,CM,BSE,STK,500209,INE009A01021,INFY,A,,,,,INFOSYS LTD.,1038.95,1040.00,1019.15,1029.80,1029.80,1040.00,,1029.40,,,393450,404239680.00,17189,F1,1,,,,,
2026-09-22,2026-09-22,CM,BSE,STK,544928,INE16VF01010,CENTURYOOH,MT,,,,,Century Business Media Limited,72.60,73.50,70.23,70.25,70.23,73.92,,70.25,,,115200,8299600.00,59,F1,1600,,,,,
2026-09-22,2026-09-22,CM,BSE,STK,544930,INE1JJF01019,INJECTO,MT,,,,,INJECTO POLYMERS LIMITED,92.00,100.00,91.16,92.95,97.65,95.95,,92.95,,,61200,5929836.00,41,F1,1200,,,,,
2026-09-22,2026-09-22,CM,BSE,STK,544931,INE1G7R01010,VAMAWOVEN,MT,,,,,VAMA WOVENFAB LIMITED,341.00,341.00,323.95,323.95,323.95,0.00,,323.95,,,227200,77369920.00,198,F1,400,,,,,
2026-09-22,2026-09-22,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,7250.05,7407.55,7125.00,7127.00,7127.00,7270.95,,7121.35,,,13454,98140513.00,2583,F1,1,,,,,
2026-09-22,2026-09-22,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,1462.75,1528.00,1382.90,1423.15,1423.15,1486.75,,1424.44,,,187160,267712739.00,9575,F1,1,,,,,
2026-09-22,2026-09-22,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,794.75,810.00,790.00,792.95,792.95,794.75,,793.18,,,261568,208113622.00,2910,F1,1,,,,,
2026-09-22,2026-09-22,CM,BSE,STK,500009,INE432A01017,AMBALALSA,T,,,,,AMBALAL SARABHAI ENTERPRISES L,39.25,39.30,38.57,38.82,39.00,38.66,,38.68,,,3683,143637.00,18,F1,1,,,,,
2026-09-22,2026-09-22,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,43.61,44.60,42.65,42.95,42.99,43.92,,42.95,,,40086,1738602.00,312,F1,1,,,,,
2026-09-22,2026-09-22,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,4.02,4.02,3.80,3.83,3.90,3.83,,3.83,,,7626,29401.00,47,F1,1,,,,,
