Date,Symbol,Security Name,Client Name,Buy/Sell,Quantity Traded,Trade Price / Wght. Avg. Price,Remarks
17-SEP-2026,ABH,ABH Healthcare Limited,NEO APEX SHARE BROKING SERVICES LLP,BUY,74400,38.20,-
17-SEP-2026,AHCL,Anlon Healthcare Limited,HRTI PRIVATE LIMITED,BUY,3386281,21.07,-
17-SEP-2026,AHCL,Anlon Healthcare Limited,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,3557795,21.23,-
17-SEP-2026,ARCIL,Asset Reconstruc Co (I) L,BNP PARIBAS FINANCIAL MARKETS,BUY,2828095,137.47,-
17-SEP-2026,ARIS,Arisinfra Solutions Ltd,SIDDHARTH BHASKAR SHAH,BUY,1018247,125.00,-
17-SEP-2026,ATALREAL,Atal Realtech Limited,JAGID VANITABEN RAJENDRAPRASAD,BUY,2750899,15.37,-
17-SEP-2026,ATALREAL,Atal Realtech Limited,HRTI PRIVATE LIMITED,BUY,830960,14.82,-
17-SEP-2026,AWHCL,Antony Waste Hdg Cell Ltd,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,353156,385.29,-
17-SEP-2026,AWHCL,Antony Waste Hdg Cell Ltd,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,BUY,181593,385.75,-
17-SEP-2026,AWHCL,Antony Waste Hdg Cell Ltd,MICROCURVES TRADING PRIVATE LIMITED,BUY,405649,385.59,-
17-SEP-2026,AWHCL,Antony Waste Hdg Cell Ltd,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,232011,385.06,-
17-SEP-2026,DUCON,Ducon Infratech Ltd,NEO APEX SHARE BROKING SERVICES LLP,BUY,5920539,1.27,-
17-SEP-2026,DUCON,Ducon Infratech Ltd,MANSI SHARE AND STOCK BROKING PRIVATE LIMITED,BUY,1,1.41,-
17-SEP-2026,EMPOWER,Empower India Ltd.,AKARSHIKA TRADERS LLP,BUY,6213687,2.51,-
17-SEP-2026,GCSL,Gretex Corporate Services,MANSUKH SECURITIES & FINANCE LIMITED,BUY,152043,599.59,-
17-SEP-2026,GLASSWALL,Glass Wall System (I) Ltd,ALPHAGREP SECURITIES PRIVATE LIMITED,BUY,1904362,241.09,-
17-SEP-2026,GLASSWALL,Glass Wall System (I) Ltd,MICROCURVES TRADING PRIVATE LIMITED,BUY,2954019,241.80,-
17-SEP-2026,GLASSWALL,Glass Wall System (I) Ltd,GRT STRATEGIC VENTURES LLP,BUY,756078,242.67,-
17-SEP-2026,GLASSWALL,Glass Wall System (I) Ltd,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,3525550,240.30,-
17-SEP-2026,GLASSWALL,Glass Wall System (I) Ltd,IRAGE BROKING SERVICES LLP,BUY,1216122,240.84,-
17-SEP-2026,GLASSWALL,Glass Wall System (I) Ltd,MATHISYS QUANTCAP LLP,BUY,1091444,241.56,-
17-SEP-2026,GLASSWALL,Glass Wall System (I) Ltd,MAHAVEER COMSTOCK TRADIND LLP,BUY,628109,242.95,-
17-SEP-2026,GLASSWALL,Glass Wall System (I) Ltd,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,1897573,240.74,-
17-SEP-2026,GLASSWALL,Glass Wall System (I) Ltd,ASHWIN STOCKS AND INVESTMENT PRIVATE LIMITED,BUY,654000,247.10,-
17-SEP-2026,GLASSWALL,Glass Wall System (I) Ltd,PLUTUS RESEARCH PRIVATE LIMITED,BUY,908557,241.61,-
17-SEP-2026,GLASSWALL,Glass Wall System (I) Ltd,ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED,BUY,636471,238.44,-
17-SEP-2026,GLASSWALL,Glass Wall System (I) Ltd,DIPAN MEHTA COMMODITIES PRIVATE LIMITED,BUY,642210,240.63,-
17-SEP-2026,GLASSWALL,Glass Wall System (I) Ltd,PURE BROKING PRIVATE LIMITED,BUY,793544,238.74,-
17-SEP-2026,INDOTHAI,Indo Thai Sec Ltd,SETU SECURITIES PVT LTD,BUY,900012,35.32,-
17-SEP-2026,INDOTHAI,Indo Thai Sec Ltd,NEO APEX SHARE BROKING SERVICES LLP,BUY,726010,35.35,-
17-SEP-2026,KANOHAR,Kanohar Electricals Ltd,ALPHAGREP SECURITIES PRIVATE LIMITED,BUY,655831,832.46,-
17-SEP-2026,KANOHAR,Kanohar Electricals Ltd,MICROCURVES TRADING PRIVATE LIMITED,BUY,1197167,838.40,-
17-SEP-2026,KANOHAR,Kanohar Electricals Ltd,ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED,BUY,726284,830.24,-
17-SEP-2026,KANOHAR,Kanohar Electricals Ltd,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,763441,825.42,-
17-SEP-2026,KANOHAR,Kanohar Electricals Ltd,IRAGE BROKING SERVICES LLP,BUY,481543,839.96,-
17-SEP-2026,KARAMTARA,Karamtara Engineering L,AUTHUM INVESTMENT & INFRASTRUCTURE LIMITED,BUY,5029954,350.25,-
17-SEP-2026,KAYA,Kaya Limited,V.E.C FLEXI CAP FUND,BUY,77208,315.50,-
17-SEP-2026,KKJEWELS,Kabra Jewels Limited,JE KE INVESTMENTS,BUY,60000,100.00,-
17-SEP-2026,KOPRAN,Kopran Ltd.,QE SECURITIES LLP,BUY,250015,265.88,-
17-SEP-2026,KSHITIJPOL,Kshitij Polyline Limited,SATISH MEJIYATAR,BUY,1785699,4.02,-
17-SEP-2026,LCCPROJECT,LCC Projects Limited,NEOMILE CORPORATE ADVISORY LIMITED,BUY,6500000,186.10,-
17-SEP-2026,LUMINO,Lumino Industries Limited,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,1839715,104.28,-
17-SEP-2026,LUMINO,Lumino Industries Limited,YUGA STOCKS AND COMMODITIES PRIVATE LIMITED,BUY,1775779,105.64,-
17-SEP-2026,MADHURKNIT,Madhur Knit Crafts Ltd,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,BUY,127200,45.05,-
17-SEP-2026,MOBIKWIK,One Mobikwik Systems Ltd,QE SECURITIES LLP,BUY,437523,204.92,-
17-SEP-2026,MOBIKWIK,One Mobikwik Systems Ltd,HRTI PRIVATE LIMITED,BUY,546186,203.03,-
17-SEP-2026,MOTISONS,Motisons Jewellers Ltd,ARIHANT CAPITAL MARKETS LIMITED,BUY,23453288,17.71,-
17-SEP-2026,MOTISONS,Motisons Jewellers Ltd,QE SECURITIES LLP,BUY,12269821,17.85,-
17-SEP-2026,MOTISONS,Motisons Jewellers Ltd,ALPHAGREP SECURITIES PRIVATE LIMITED,BUY,6281347,17.87,-
17-SEP-2026,MOTISONS,Motisons Jewellers Ltd,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,12222232,17.83,-
17-SEP-2026,MOTISONS,Motisons Jewellers Ltd,MICROCURVES TRADING PRIVATE LIMITED,BUY,7641366,17.99,-
17-SEP-2026,MOTISONS,Motisons Jewellers Ltd,HRTI PRIVATE LIMITED,BUY,9059477,17.91,-
17-SEP-2026,MPEL-RE,Manas Poly n Energ Ltd,AMRIT L GANDHI  (HUF),BUY,150400,1.45,-
17-SEP-2026,MPEL-RE,Manas Poly n Energ Ltd,CHANDRIKA RAMAN SHAH,BUY,262400,1.64,-
17-SEP-2026,MPEL-RE,Manas Poly n Energ Ltd,KARAN  BALKRISHNA SHAH,BUY,262400,1.64,-
17-SEP-2026,MPEL-RE,Manas Poly n Energ Ltd,RAMAN SHAMJIBHAI SHAH (HUF),BUY,249600,1.50,-
17-SEP-2026,MPEL-RE,Manas Poly n Energ Ltd,SHRUTI RAMAN SHAH,BUY,262400,1.64,-
17-SEP-2026,PNC,PNC Media and Ent Ltd,IRAGE BROKING SERVICES LLP,BUY,82036,17.50,-
17-SEP-2026,PRANAV,Pranav Constructions Ltd,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,753572,112.00,-
17-SEP-2026,PRANAV,Pranav Constructions Ltd,KRISHNA AWTAR KABRA,BUY,735342,113.53,-
17-SEP-2026,PRANAV,Pranav Constructions Ltd,QE SECURITIES LLP,BUY,807205,112.84,-
17-SEP-2026,PRANAV,Pranav Constructions Ltd,PARTH INFIN BROKERS PVT LTD,BUY,673123,113.71,-
17-SEP-2026,RANASUG,Rana Sugars Ltd,MOHAMMAD AFSAR KHAN,BUY,1000000,14.72,-
17-SEP-2026,RATNAVEER,Ratnaveer Precision Eng L,HRTI PRIVATE LIMITED,BUY,848799,304.07,-
17-SEP-2026,RATNAVEER,Ratnaveer Precision Eng L,MATHISYS QUANTCAP LLP,BUY,485196,306.69,-
17-SEP-2026,RATNAVEER,Ratnaveer Precision Eng L,QE SECURITIES LLP,BUY,982257,305.40,-
17-SEP-2026,RATNAVEER,Ratnaveer Precision Eng L,ALPHAGREP SECURITIES PRIVATE LIMITED,BUY,487856,308.11,-
17-SEP-2026,RATNAVEER,Ratnaveer Precision Eng L,UNITY ASSOCIATES,BUY,818913,304.66,-
17-SEP-2026,RATNAVEER,Ratnaveer Precision Eng L,JAINAM BROKING LIMITED,BUY,1530000,290.40,-
17-SEP-2026,RATNAVEER,Ratnaveer Precision Eng L,ARTHKUMBH VENTURES LLP,BUY,1010000,292.67,-
17-SEP-2026,RATNAVEER,Ratnaveer Precision Eng L,ARIHANT CAPITAL MARKETS LIMITED,BUY,2769718,298.46,-
17-SEP-2026,RATNAVEER,Ratnaveer Precision Eng L,MICROCURVES TRADING PRIVATE LIMITED,BUY,600909,310.62,-
17-SEP-2026,RATNAVEER,Ratnaveer Precision Eng L,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,606324,306.79,-
17-SEP-2026,RAYMOND,Raymond Ltd.,HRTI PRIVATE LIMITED,BUY,327404,982.97,-
17-SEP-2026,RENTOMOJO,Rentomojo Limited,S I INVESTMENTS ## BROKING PVT.LTD,BUY,600000,491.61,-
17-SEP-2026,RENTOMOJO,Rentomojo Limited,ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED,BUY,557080,517.31,-
