SYMBOL,NAME_OF_COMPANY,SERIES,DATE_OF_LISTING,PAID_UP_VALUE,ISIN_NUMBER,FACE_VALUE,
VINOD,Vinod Texworld Limited,ST,17-Sep-26,10,INE1A5U01014,10,
QUALIANCE,Qualiance International Limited,ST,11-Sep-26,10,INE1XJ401012,10,
SHANTIINOR,Shanti Inorganics Limited,SM,07-Sep-26,10,INE1ZEE01019,10,
ASHUTOSH,Ashutosh Fibre Limited,SM,07-Sep-26,10,INE19FR01012,10,
SUMAX,Sumax Engineering Limited,SM,02-Sep-26,10,INE11Z001019,10,
ABH,ABH Healthcare Limited,SM,01-Sep-26,10,INE1R2M01019,10,
MADHURKNIT,Madhur Knit Crafts Limited,SM,01-Sep-26,10,INE1P5601010,10,
RCDL-RE,Rajgor Castor Derivatives Limited-RE,ST,31-Aug-26,10,INE0BZQ20011,10,
FASCINATE,Fascinate Textiles Limited,SM,24-Aug-26,10,INE1Q2D01019,10,
SKYTECH,Skytech Infinite Platform Limited,SM,21-Aug-26,10,INE0VFE01017,10,
CREDENT,Credent Connect N Care Limited,SM,20-Aug-26,10,INE1KPX01025,10,
PRAMODINI,Pramodini Medicare Limited,SM,19-Aug-26,10,INE2JG601017,10,
OPTIMYSTIX,Optimystix Entertainment India Limited,SM,14-Aug-26,10,INE1JZB01022,10,
ANAWIL,Anawil Wire and Engineering Limited,SM,10-Aug-26,10,INE1J5V01013,10,
PROPSHOP,Propshop Events and Exhibitions Limited,SM,03-Aug-26,10,INE1FFX01018,10,
METALIC,Metalic Technoforge Limited,ST,28-Jul-26,10,INE1II801013,10,
HAPPY,Happy Steels Limited,SM,16-Jul-26,10,INE1GFG01011,10,
ICELCO,IC Electricals Company Limited,SM,10-Jul-26,10,INE0XE501015,10,
TEJA,Teja Engineering Industries Limited,SM,07-Jul-26,10,INE0R1301019,10,
VMOBILE,Vinit Mobile Limited,SM,07-Jul-26,10,INE27V201011,10,
SHREEDHAR,Shreedhar Spinners Limited,ST,01-Jul-26,10,INE0K3301012,10,
AVIENCE,Avience Biomedicals Limited,SM,25-Jun-26,10,INE0V9I01017,10,
CLAYCRAFT,Clay Craft India Limited,SM,24-Jun-26,10,INE1QGM01024,10,
UTKAL,Utkal Speciality Industries India Limited,SM,17-Jun-26,10,INE1V1R01014,10,
GENXAI,GenXAI Analytics Limited,SM,12-Jun-26,10,INE1W0N01014,10,
BMLL,Bio Medica Laboratories Limited,SM,29-May-26,10,INE1BKA01015,10,
QLINE,Q-Line Biotech Limited,SM,29-May-26,10,INE1G2W01011,10,
TEAMTECH,Teamtech Formwork Solutions Limited,ST,26-May-26,5,INE2OL601013,5,
NFPSAMPOOR,NFP Sampoorna Foods Limited,SM,25-May-26,10,INE0T1501010,10,
RFBL,RFBL Flexi Pack Limited,ST,19-May-26,10,INE0V2V01015,10,
SIMCA,Simca Advertising Limited,ST,15-May-26,10,INE1K4J01018,10,
VALUE360,Value 360 Communications Limited,SM,11-May-26,10,INE1E7Y01018,10,
AMBAAUTO,Amba Auto Sales and Services Limited,SM,05-May-26,10,INE293601014,10,
ADISOFT,Adisoft Technologies Limited,SM,30-Apr-26,10,INE20PL01012,10,
VIVIDEL,Vivid Electromech Limited,SM,07-Apr-26,10,INE24H301028,10,
APSISAERO,Apsis Aerocom Limited,ST,18-Mar-26,10,INE1OOJ01011,10,
SPCON,Srinibas Pradhan Constructions Limited,SM,13-Mar-26,10,INE0TPJ01019,10,
ACETEC,Acetech E-Commerce Limited,SM,09-Mar-26,10,INE1J6M01010,10,
STRIDERS,Striders Impex Limited,SM,06-Mar-26,10,INE1XWN01017,10,
YAAP,Yaap Digital Limited,SM,05-Mar-26,10,INE0U0J01015,10,
MOBILISE,Mobilise App Lab Limited,SM,02-Mar-26,10,INE1YNB01019,10,
MANILAM,Manilam Industries India Limited,SM,27-Feb-26,10,INE1ERK01013,10,
MARUSHIKA,Marushika Technology Limited,SM,19-Feb-26,10,INE0X7G01013,10,
BIOPOL,Biopol Chemicals Limited,SM,13-Feb-26,10,INE0XW001014,10,
GJL,Grover Jewells Limited,ST,11-Feb-26,10,INE1TY801010,10,
BRANDMAN,Brandman Retail Limited,SM,11-Feb-26,10,INE0XUD01014,10,
CKKRETAIL,C K K Retail Mart Limited,SM,06-Feb-26,10,INE0SMX01019,10,
KRMAYURVED,KRM Ayurveda Limited,SM,29-Jan-26,10,INE1MTV01019,10,
ARMOUR,Armour Security (India) Limited,ST,22-Jan-26,10,INE0TZX01019,10,
AVANA,Avana Electrosystems Limited,ST,20-Jan-26,10,INE1KU201016,10,
VICTORYEV,Victory Electric Vehicles International Limited,SM,14-Jan-26,5,INE0F8901022,5,
E2ERAIL,E To E Transportation Infrastructure Limited,SM,02-Jan-26,10,INE1CEJ01017,10,
DHARARAIL,Dhara Rail Projects Limited,ST,31-Dec-25,10,INE2HJL01019,10,
EPWINDIA,EPW India Limited,ST,30-Dec-25,5,INE1KEC01023,5,
