TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-21,2026-09-21,CM,NSE,STK,765396,INE18UN01038,GAJA,EQ,,,,,GAJA ALT ASSET MGT LTD,143.00,168.33,141.50,162.71,162.00,142.50,,162.70,,,18146677,2929799523.66,138015,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,766005,INE644Q01039,GLASSWALL,EQ,,,,,GLASS WALL SYSTEM (I) LTD,274.38,305.39,261.66,295.21,300.70,269.51,,295.28,,,77218755,21746422830.17,590799,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,766021,INE877D01025,KANOHAR,EQ,,,,,KANOHAR ELECTRICALS LTD,784.05,881.80,763.00,866.95,873.00,786.80,,867.11,,,11408025,9524539424.00,320254,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,764397,INE0OWZ01020,MVELECTRO,EQ,,,,,MV ELECTROSYSTEMS LIMITED,837.85,916.00,817.15,882.20,878.00,832.75,,882.22,,,4254269,3727217335.55,109758,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,765988,INE1XJ401012,QUALIANCE,ST,,,,,QUALIANCE INTERNATIONAL L,182.75,193.00,182.75,182.75,182.75,192.35,,182.75,,,473000,87036400.00,327,F1,1000,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,2885,INE002A01018,RELIANCE,EQ,,,,,RELIANCE INDUSTRIES LTD,1234.10,1249.10,1232.50,1247.40,1247.40,1226.40,,1247.40,,,10007218,12417597303.00,186656,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,766077,INE08T701025,RENTOMOJO,EQ,,,,,RENTOMOJO LIMITED,511.80,547.75,509.00,539.75,539.95,512.75,,539.86,,,11613872,6136257180.95,194067,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,765480,INE0PX301025,SKYWAYS,EQ,,,,,SKYWAYS AIR SERVICES LTD,126.00,137.38,123.40,126.03,126.67,124.43,,126.03,,,29247327,3834583190.34,164237,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,765387,INE1B3O01011,SUNSHINE,EQ,,,,,SUNSHINE PICTURES LIMITED,401.90,432.00,385.25,430.10,429.50,398.30,,430.09,,,3745440,1524899873.85,31485,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,766098,INE1JTV01015,VEEGALAND,BE,,,,,VEEGALAND DEVELOPERS LTD,142.00,143.02,138.99,141.84,141.00,146.30,,141.81,,,1107338,155383317.50,5970,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,766064,INE1A5U01014,VINOD,ST,,,,,VINOD TEXWORLD LIMITED,80.65,80.65,80.65,80.65,80.65,84.85,,80.65,,,2400,193560.00,2,F1,1200,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,15475.00,15475.00,15105.11,15120.00,15120.00,15168.14,,15120.00,,,73,1106635.75,17,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,15150.00,15269.99,15150.00,15165.85,15160.00,15202.00,,15165.85,,,64,971068.36,17,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,15195.00,15245.00,15165.10,15216.37,15224.00,15243.18,,15199.03,,,248,3773777.17,41,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,15161.00,15229.99,15130.00,15130.00,15130.00,15160.82,,15102.63,,,54,818560.05,18,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,15110.20,15193.99,15110.00,15133.50,15115.00,15214.29,,15133.50,,,89,1346808.90,24,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,15180.00,15180.00,15070.00,15102.45,15071.00,15171.22,,15100.36,,,102,1542184.38,47,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,15200.02,15399.99,15200.02,15225.72,15225.00,15250.25,,15225.72,,,352,5362833.95,19,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,5960,IN0020180249,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,15250.00,15251.00,15250.00,15251.00,15251.00,15250.00,,15216.91,,,6,91503.00,2,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,15150.00,15150.00,15150.00,15150.00,15150.00,15025.00,,15300.00,,,12,181800.00,1,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,7654,IN0020180389,SGBDEC26,GB,,,,,2.50%GOLDBONDS2026SR-IV,15024.50,15400.00,15001.00,15001.00,15001.00,15100.00,,15050.50,,,10,151124.49,6,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,10261,IN0020190073,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,15110.01,15110.01,15110.01,15110.01,15110.01,15192.34,,15110.01,,,25,377750.25,1,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,11154,IN0020190081,SGBJUL27,GB,,,,,2.50%GOLDBONDS2027SR-II,15007.00,15399.95,15007.00,15399.95,15399.95,14911.00,,15228.48,,,10,151641.80,5,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,12904,IN0020190107,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,15254.05,15254.05,15025.00,15106.00,15106.00,15178.16,,15110.30,,,104,1571999.86,42,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,13209,IN0020190115,SGBSEP27,GB,,,,,2.50%GOLDBONDS2027SR-IV,15503.98,15503.98,15503.98,15503.98,15503.98,15199.98,,15503.98,,,10,155039.80,2,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,8308,IN0020180462,SGBJAN27,GB,,,,,2.50%GOLDBONDS2027SR-V,15100.00,15100.00,15100.00,15100.00,15100.00,15100.00,,15100.00,,,26,392600.00,3,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,13981,IN0020190370,SGBOCT27,GB,,,,,2.50%GOLDBONDS2027SR-V,15202.00,15202.00,15202.00,15202.00,15202.00,15300.00,,15202.00,,,3,45606.00,1,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,14252,IN0020190388,SGBOCT27VI,GB,,,,,2.50%GOLDBONDS2027SR-VI,15172.76,15172.76,15172.76,15172.76,15172.76,15249.00,,15172.76,,,1,15172.76,1,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,15432,IN0020190461,SGBDC27VII,GB,,,,,2.50%GOLDBONDS2027SR-VII,15200.00,15623.00,15200.00,15200.00,15200.00,15160.00,,15203.00,,,34,517245.00,9,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,18862,IN0020200062,SGBAPR28I,GB,,,,,2.50%GOLDBONDS2028SR-I,15225.00,15300.00,15225.00,15279.76,15279.99,15300.00,,15274.39,,,234,3572090.29,28,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,18972,IN0020200088,SGBMAY28,GB,,,,,2.50%GOLDBONDS2028SR-II,15161.43,15218.99,15144.00,15144.00,15144.00,15237.62,,15144.00,,,35,530790.50,13,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,22242,IN0020200146,SGBJUL28IV,GB,,,,,2.50%GOLDBONDS2028SR-IV,15132.80,15200.00,15101.00,15101.13,15101.00,15132.89,,15100.31,,,64,967502.56,17,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,22385,IN0020200161,SGBAUG28V,GB,,,,,2.50%GOLDBONDS2028SR-V,15220.98,15220.98,15100.00,15131.04,15145.00,15193.70,,15129.42,,,1321,20021595.69,156,F1,1,,,,,
